Lambda,FairnessMeasure,Statistic,MACE,MRMC,MAP,MRR
0.4,pearson,stdev,9.72804491004533e-05,0.009397900356315315,0.00057168635943377,0.00057168635943377
0.5,kullback-leibler,mean,0.0009360701331144677,0.11975015273230545,0.004092352092352093,0.004222222222222223
0.5,kullback-leibler,stdev,8.376812335346786e-05,0.0029399598141457736,0.0008222652224395214,0.0008882210155622055
0.5,hellinger,mean,0.0006933573049829207,0.43133930357032446,0.0044009482580911145,0.0044009482580911145
0.5,hellinger,stdev,7.833602115701065e-05,0.009484487994379408,0.0011196247495984973,0.0011196247495984973
0.5,pearson,mean,0.001214131197379492,0.06741830034579396,0.003639661925376211,0.003639661925376211
0.5,pearson,stdev,9.73162045240687e-05,0.009398287564079982,0.0005983008459914708,0.0005983008459914708
0.6000000000000001,kullback-leibler,mean,0.0009360701331144677,0.11972563108247695,0.004066378066378067,0.004222222222222223
0.6000000000000001,kullback-leibler,stdev,8.376812335346786e-05,0.002949894272362882,0.0008109282957788216,0.0008882210155622055
0.6000000000000001,hellinger,mean,0.0006914037030293187,0.43139869318483104,0.004280354566068852,0.004280354566068852
0.6000000000000001,hellinger,stdev,7.87426601484614e-05,0.009484043220720379,0.0011191344579768179,0.0011191344579768179
0.6000000000000001,pearson,mean,0.001214131197379492,0.06741723891586326,0.003639661925376211,0.003639661925376211
0.6000000000000001,pearson,stdev,9.73162045240687e-05,0.009398236812663097,0.0005983008459914708,0.0005983008459914708
0.7000000000000001,kullback-leibler,mean,0.0009360701331144677,0.11970410330778705,0.004082869511440939,0.004238713667285096
0.7000000000000001,kullback-leibler,stdev,8.376812335346786e-05,0.002960810208530602,0.000818048975226978,0.0008975946680604049
0.7000000000000001,hellinger,mean,0.0006914037030293187,0.4313826474631856,0.00420614306328592,0.00420614306328592
0.7000000000000001,hellinger,stdev,7.87426601484614e-05,0.009503533326484482,0.0010827065821977634,0.0010827065821977634
0.7000000000000001,pearson,mean,0.001214131197379492,0.06741771463938548,0.003639661925376211,0.003639661925376211
0.7000000000000001,pearson,stdev,9.73162045240687e-05,0.00939862001580744,0.0005983008459914708,0.0005983008459914708
0.8,kullback-leibler,mean,0.0009360701331144677,0.11970986525461443,0.004126159554730983,0.004282003710575139
0.8,kullback-leibler,stdev,8.376812335346786e-05,0.0029601846702280964,0.0008379979472817684,0.0009231498374668137
0.8,hellinger,mean,0.0006914037030293187,0.4314217634900471,0.00420614306328592,0.00420614306328592
0.8,hellinger,stdev,7.87426601484614e-05,0.009489435227378181,0.0010827065821977634,0.0010827065821977634
