Lambda,FairnessMeasure,Statistic,MACE,MRMC,MAP,MRR
0.0,kullback-leibler,mean,0.002148998943032273,0.44536615366159077,0.0013730708742522792,0.00136927551976617
0.0,kullback-leibler,stdev,0.00012123427305588906,0.016304420482906697,0.00024048524489315808,0.00023729442950396268
0.0,hellinger,mean,0.002148998943032273,0.8651049678273747,0.0013730708742522792,0.00136927551976617
0.0,hellinger,stdev,0.00012123427305588906,0.017037742491124202,0.00024048524489315808,0.00023729442950396268
0.0,pearson,mean,0.002148998943032273,0.43789650030433835,0.0013730708742522792,0.00136927551976617
0.0,pearson,stdev,0.00012123427305588906,0.018927547670147107,0.00024048524489315808,0.00023729442950396268
0.1,kullback-leibler,mean,0.0017306602143660394,0.32245245570072434,0.001009221186081475,0.0010068596321790072
0.1,kullback-leibler,stdev,0.00011321995458730077,0.01445583369437285,0.00021475471639657246,0.0002138978735478751
0.1,hellinger,mean,0.002147025152011599,0.8465801986602631,0.0013354837650347182,0.0013316884105486091
0.1,hellinger,stdev,0.00012898851910293034,0.016786966012911787,0.000257762108884899,0.000254823662910775
0.1,pearson,mean,0.001568019243252073,0.14334230490264815,0.012982404898106845,0.012974982871556231
0.1,pearson,stdev,0.00012679232978048558,0.006854928415913701,0.002227668854051073,0.002262784189120365
0.2,kullback-leibler,mean,0.0016790479526506146,0.2617043515122692,0.0008911731898312493,0.000882317362696995
0.2,kullback-leibler,stdev,0.0001009365584131598,0.009917738998295579,0.00031590344514512906,0.0003071865143652991
0.2,hellinger,mean,0.002129153685248215,0.8253936797846448,0.0012117470438405614,0.0012117470438405614
0.2,hellinger,stdev,0.00012623165905648482,0.01679806191870025,0.00026297864541859956,0.00026297864541859956
0.2,pearson,mean,0.0015658029360250143,0.14522579069033473,0.01307686364466725,0.013084116988796256
0.2,pearson,stdev,0.00012714323209909545,0.006748295209061915,0.002251177496742974,0.0022856882478278205
0.30000000000000004,kullback-leibler,mean,0.001652062862110329,0.24855181147944613,0.002548032229827287,0.002539176402693033
