Lambda,FairnessMeasure,Statistic,MACE,MRMC,MAP,MRR
0.4,kullback-leibler,stdev,0.0002617606009491213,0.0051828491035853744,0.0032567624072650427,0.0032216596626427896
0.4,hellinger,mean,0.04408527341888324,0.6613001678276844,0.006172360248447205,0.006111973775017253
0.4,hellinger,stdev,0.000788858821232884,0.007226803537411521,0.0017981223706063246,0.0017690725253121204
0.4,pearson,mean,0.04011927112373527,0.1129950381959561,0.04498619737750172,0.046094289164941335
0.4,pearson,stdev,0.0003093841045053769,0.004921303101817971,0.00928321424545525,0.010409151792028013
0.5,kullback-leibler,mean,0.035840205218937896,0.16588926538808058,0.01462603519668737,0.014607919254658385
0.5,kullback-leibler,stdev,0.00022125913166423476,0.004398227191042223,0.004396135678326693,0.00439078580331128
0.5,hellinger,mean,0.04104681222898697,0.6232082591599823,0.009176587301587302,0.00911620082815735
0.5,hellinger,stdev,0.0008050175331043209,0.007329766673530067,0.002280580261144621,0.0022603812003633484
0.5,pearson,mean,0.03992175937978254,0.11290860429560408,0.04548654244306418,0.046547187715665975
0.5,pearson,stdev,0.00032848496901341214,0.004913857566376537,0.009249211834654133,0.010351824735372519
0.6000000000000001,kullback-leibler,mean,0.03556858639075259,0.15970751421838014,0.01846402691511387,0.018402777777777775
0.6000000000000001,kullback-leibler,stdev,0.00013275670917525987,0.0035595322913534685,0.005217749139628168,0.0052152026540014385
0.6000000000000001,hellinger,mean,0.037096023698438035,0.5761594159557473,0.010208764665286404,0.010097049689440992
0.6000000000000001,hellinger,stdev,0.0004706426275199002,0.006053482961710291,0.002108531807955386,0.0020506626794991245
0.6000000000000001,pearson,mean,0.03970926718313349,0.11279646180039124,0.04577337819185645,0.04679865424430642
0.6000000000000001,pearson,stdev,0.00038373104687683445,0.0048863244207695946,0.009247037255603547,0.010339561716014956
0.7000000000000001,kullback-leibler,mean,0.03540039406912433,0.1550691917379877,0.027401224982746726,0.027759661835748795
0.7000000000000001,kullback-leibler,stdev,0.00014064048778992836,0.0031555493533753144,0.0071705215517509704,0.007557740663266144
0.7000000000000001,hellinger,mean,0.034613448631057434,0.5373318771832243,0.011161792615596964,0.011154244306418221
0.7000000000000001,hellinger,stdev,0.0002935861347756799,0.004470154676814208,0.0019156915046153204,0.0019094631253885345
0.7000000000000001,pearson,mean,0.03951912008440607,0.11274184009466244,0.045621118012422364,0.04659981021394065
0.7000000000000001,pearson,stdev,0.00041284996074136224,0.004891512720967161,0.009412611935407336,0.01050214171933082
0.8,kullback-leibler,mean,0.03534241885021474,0.15189401970667316,0.0354162353347136,0.03614346100759144
0.8,kullback-leibler,stdev,0.0001031286648036662,0.002858884283028993,0.008392040148225546,0.009189700231674001
0.8,hellinger,mean,0.033067105438840866,0.5123640237742699,0.016925465838509315,0.016952639751552794
0.8,hellinger,stdev,0.0002546878589788675,0.0031886050019886186,0.0030290621533209973,0.0030511068091761033
0.8,pearson,mean,0.03936463686601703,0.11277842547457392,0.04592046238785369,0.04694746376811594
0.8,pearson,stdev,0.00043266758207389264,0.004879446569986998,0.009046541301284357,0.010119014400365375
0.9,kullback-leibler,mean,0.035404013522840304,0.14984655021842674,0.04111024844720497,0.042220065562456874
0.9,kullback-leibler,stdev,0.00010211147491110911,0.0026428461550366896,0.010457150570197587,0.011530680547005566
0.9,hellinger,mean,0.031486359834768926,0.49393275611724247,0.030516520013802624,0.030716011042098
0.9,hellinger,stdev,0.0001751663660345869,0.0015764614424358754,0.005894238951124321,0.005962927622327265
0.9,pearson,mean,0.039251090327875784,0.11278593898246987,0.04710878191856452,0.04811766735679779
0.9,pearson,stdev,0.00043292475147644054,0.004912386952069321,0.008693823356631606,0.009785074622290339
1.0,kullback-leibler,mean,0.035192328414292075,0.14872279257073756,0.0532531055900621,0.053877242926155956
1.0,kullback-leibler,stdev,7.297142096302825e-05,0.0027127313588929903,0.009956578706740134,0.010951298487897979
1.0,hellinger,mean,0.031090101289950777,0.48712690294150657,0.06040027605244995,0.061548050379572096
1.0,hellinger,stdev,0.00012055498547984742,0.0013913453203067288,0.008811442724403418,0.010096087355426893
1.0,pearson,mean,0.03914849318350201,0.11280954454920074,0.049169254658385085,0.05034204623878537
1.0,pearson,stdev,0.0004178511125518122,0.004924466048966738,0.008255595928685447,0.009468211844953583
