Lambda,FairnessMeasure,Statistic,MACE,MRMC,MAP,MRR
0.30000000000000004,hellinger,mean,0.0013467495238507182,0.7121448323128695,0.048343846611344,0.04847674594758375
0.30000000000000004,hellinger,stdev,8.94327313716309e-05,0.0038025857874323357,0.006058361741059574,0.006344700523822971
0.30000000000000004,pearson,mean,0.0009757144591113359,0.14032529849999908,0.07415202242084543,0.0770359709808279
0.30000000000000004,pearson,stdev,0.00010997740578101181,0.002102951704021962,0.0039356746794430636,0.004397933744006956
0.4,kullback-leibler,mean,0.0010026669689184853,0.21809636955914757,0.06932782210327289,0.07223181672810523
0.4,kullback-leibler,stdev,0.00010391633705803105,0.0019655868880205877,0.004711295921196831,0.0052522940497219135
0.4,hellinger,mean,0.001320850008602441,0.6922930195882687,0.04978258765506914,0.05002398626470742
0.4,hellinger,stdev,9.355644988150501e-05,0.0028440446550478753,0.006162733248020222,0.006390959219526589
0.4,pearson,mean,0.0009716630923876466,0.14055184615499533,0.07383687656752352,0.07691864868959258
0.4,pearson,stdev,0.00011034754834867184,0.0020860878871914405,0.003951917791428191,0.004536860337535597
0.5,kullback-leibler,mean,0.001002813716541613,0.208203230925497,0.0691586992992084,0.07232456361830708
0.5,kullback-leibler,stdev,0.0001135868210812541,0.0012419998244992039,0.004070944643073133,0.004583983596133946
0.5,hellinger,mean,0.0012545723425129514,0.6699474033500306,0.051396596755822685,0.05185056136275655
0.5,hellinger,stdev,8.547331658815666e-05,0.0026841667459483304,0.006670404856746871,0.00705521014665165
0.5,pearson,mean,0.0009654815069518481,0.1408961083321787,0.07415963911191915,0.07733668299415922
0.5,pearson,stdev,0.00011364514550238325,0.002001156901259927,0.003947581195229614,0.00451539911241358
0.6000000000000001,kullback-leibler,mean,0.0009829853572459718,0.20207931175601349,0.07104842420059822,0.0742193102055245
0.6000000000000001,kullback-leibler,stdev,0.00011920452202899853,0.0010007429951331731,0.002904107877971364,0.003293299377085049
0.6000000000000001,hellinger,mean,0.0011917928907300918,0.6464768273620114,0.05311390810595484,0.05396884310458019
0.6000000000000001,hellinger,stdev,0.00010951888432852587,0.0026508796222827744,0.006463086237027689,0.006833726774019722
0.6000000000000001,pearson,mean,0.0009654164891555598,0.1411534451838845,0.07382000201989607,0.07706685855678441
0.6000000000000001,pearson,stdev,0.00011331902184400054,0.002009170666226299,0.0038073808436821567,0.004437930218187478
0.7000000000000001,kullback-leibler,mean,0.0009622891726198686,0.1985693500770747,0.0730085088117963,0.07590247268932326
0.7000000000000001,kullback-leibler,stdev,0.00011964613319973198,0.0008591238110231491,0.0025186480834747697,0.0029251385336932375
0.7000000000000001,hellinger,mean,0.0010944837127790364,0.6220758231930847,0.05985553535659586,0.06121976468211894
0.7000000000000001,hellinger,stdev,0.00013168944593277323,0.002867344544704746,0.006701986597980691,0.007066987599854867
0.7000000000000001,pearson,mean,0.0009548163196616673,0.14149870780185575,0.07380981837768698,0.07705751653789841
0.7000000000000001,pearson,stdev,0.00011168516190213068,0.0020106556215676035,0.003414276268093299,0.0040800204800296455
0.8,kullback-leibler,mean,0.0009396178625563675,0.19561191396702982,0.07191469305997417,0.07509754414314339
0.8,kullback-leibler,stdev,0.00011909298747978279,0.0007868306379602998,0.002378958177968737,0.0028350967202003426
0.8,hellinger,mean,0.0010664254106383148,0.6013328193304017,0.06578874132426635,0.06857639414903476
0.8,hellinger,stdev,0.00012743378771780725,0.0017422372843553034,0.004415082909398857,0.004728003997414328
0.8,pearson,mean,0.000951246941442522,0.14167352243337883,0.0743432532669013,0.07752327088488287
0.8,pearson,stdev,0.00011194140468361739,0.0020312879732047044,0.0036247022444608175,0.004336809612654439
0.9,kullback-leibler,mean,0.000952709870208308,0.19343120706762904,0.07288470602097334,0.07579457657930624
0.9,kullback-leibler,stdev,0.00010651806095644672,0.0006071243241740818,0.002359610410734757,0.003085687600204455
0.9,hellinger,mean,0.0010106204094287737,0.5867066220329147,0.07158063172246636,0.07469928798666875
0.9,hellinger,stdev,0.0001328772975005919,0.0009671668751678801,0.0026465113480045018,0.002845168637942159
0.9,pearson,mean,0.0009425276392383928,0.14200557006381348,0.07470292099401335,0.07838399905738198
0.9,pearson,stdev,0.00010655403570646298,0.00210558573245232,0.003664752725912757,0.004271477369773271
1.0,kullback-leibler,mean,0.0009385393708133211,0.1922830659663985,0.07562779489078544,0.07928874412967739
1.0,kullback-leibler,stdev,0.00010342803782676654,0.0005488139330771825,0.0028778501860552315,0.003381079523836879
1.0,hellinger,mean,0.0010068134868082411,0.5829226997683582,0.07890256526788879,0.0822117860930163
1.0,hellinger,stdev,0.00012622769860857287,0.0007613251625311855,0.0028223873696007376,0.003061423762259211
1.0,pearson,mean,0.0009376703434241303,0.1421254138421073,0.07603278403384459,0.07978833173424912
1.0,pearson,stdev,0.00010482574409490677,0.0021543780254887337,0.0035630208829373474,0.00431987191907648
