Lambda,FairnessMeasure,Statistic,MACE,MRMC,MAP,MRR
0.0,kullback-leibler,mean,0.0025961678316750772,0.3622944925216878,0.007931763285024155,0.007977053140096618
0.0,kullback-leibler,stdev,9.081839701788533e-05,0.01359757882734298,0.0030607164186304647,0.0030499525864221377
0.0,hellinger,mean,0.0025961678316750772,0.7259644994090395,0.007931763285024155,0.007977053140096618
0.0,hellinger,stdev,9.081839701788533e-05,0.011082501866620591,0.0030607164186304647,0.0030499525864221377
0.0,pearson,mean,0.0025961678316750772,0.3849445768439963,0.007931763285024155,0.007977053140096618
0.0,pearson,stdev,9.081839701788533e-05,0.01676199182097939,0.0030607164186304647,0.0030499525864221377
0.1,kullback-leibler,mean,0.0024422948109542294,0.2880365905221414,0.006704623878536922,0.006661490683229814
0.1,kullback-leibler,stdev,0.00010381802473108104,0.007338073098442709,0.0012122734750468094,0.0011953706546586104
0.1,hellinger,mean,0.002546749684430843,0.711387607008003,0.0077083333333333335,0.007723429951690822
0.1,hellinger,stdev,8.400564577259225e-05,0.010013116649660463,0.00291682372352967,0.002912296156122551
0.1,pearson,mean,0.0023036339823900957,0.11333432890005528,0.04249784334023464,0.043586525189786056
0.1,pearson,stdev,0.0001373234113489179,0.005224727806118541,0.009891772920247451,0.011139695783496826
0.2,kullback-leibler,mean,0.0020683899110784726,0.21317307942056174,0.00733458419599724,0.007281746031746031
0.2,kullback-leibler,stdev,6.684825937306692e-05,0.011720973643443013,0.002107332567735625,0.0020596173701539072
0.2,hellinger,mean,0.002471030600559585,0.6981802042474503,0.007038043478260869,0.007025966183574879
0.2,hellinger,stdev,8.405716810512964e-05,0.009765857444999596,0.0022651287351691165,0.0022681813758420066
0.2,pearson,mean,0.002249475811432829,0.11299602388040875,0.042868357487922705,0.04391218081435473
0.2,pearson,stdev,0.00014219006246128134,0.005212215546649589,0.00953460510110075,0.010796518583145441
0.30000000000000004,kullback-leibler,mean,0.0020493942601219985,0.18630457349824492,0.009472049689440995,0.009407349896480333
0.30000000000000004,kullback-leibler,stdev,6.873900631983857e-05,0.0067376532015070364,0.0027053650200986787,0.0026694872004697635
0.30000000000000004,hellinger,mean,0.002490788971767231,0.6845354919047096,0.006824965493443753,0.006812888198757763
0.30000000000000004,hellinger,stdev,7.245804884748804e-05,0.00817859022105285,0.002197844930365808,0.0022006985713530856
0.30000000000000004,pearson,mean,0.002224748031810567,0.11289640847260152,0.04436594202898551,0.04542270531400966
0.30000000000000004,pearson,stdev,0.00015061243502580957,0.005197839155521558,0.009298858373444036,0.010564912811374325
0.4,kullback-leibler,mean,0.0020376212242546863,0.1742830686094202,0.01332686335403727,0.013272515527950312
0.4,kullback-leibler,stdev,5.622948558053657e-05,0.005324300874391317,0.004638878881630268,0.004610135984916744
0.4,hellinger,mean,0.0024227174498913607,0.6602198845481215,0.006304779158040027,0.006261645962732919
0.4,hellinger,stdev,8.462473935149955e-05,0.006946125670959303,0.0017312776979616223,0.0017109179780012626
0.4,pearson,mean,0.002224748031810567,0.11270548465520469,0.04427277432712216,0.04532953761214631
0.4,pearson,stdev,0.00015061243502580957,0.005193811278003659,0.009585854297959074,0.010850816566424804
0.5,kullback-leibler,mean,0.0019522864744477154,0.1655387993012091,0.016338423050379573,0.01638069358178054
0.5,kullback-leibler,stdev,0.00013312692092724469,0.0043149437806044395,0.004805660395889409,0.0048517234757163375
0.5,hellinger,mean,0.002347020875100585,0.6216234418644182,0.007922273982056591,0.007892080745341614
0.5,hellinger,stdev,0.00010064630790959409,0.007169952214122201,0.0011795037449156569,0.0011705539040278066
0.5,pearson,mean,0.0022225556036523293,0.11262848957738958,0.0448136645962733,0.04577079020013802
0.5,pearson,stdev,0.00014921898002958839,0.005199493648190698,0.009670455255098086,0.010881128925474983
0.6000000000000001,kullback-leibler,mean,0.0019477028592089572,0.15955476975289773,0.02153985507246377,0.021745169082125603
0.6000000000000001,kullback-leibler,stdev,0.00012154532352527406,0.0035794677669755285,0.0064561710182410885,0.0065535924370139255
0.6000000000000001,hellinger,mean,0.0020826052017441613,0.5789713952375136,0.009644582470669428,0.009583333333333333
0.6000000000000001,hellinger,stdev,7.954600740148567e-05,0.006129792459089572,0.00199234664047099,0.0019629227903512816
0.6000000000000001,pearson,mean,0.0022194588614251527,0.1126174527832351,0.045147946859903386,0.04610593512767426
0.6000000000000001,pearson,stdev,0.0001466783154999712,0.0051382560969319285,0.009645394159460141,0.01085510348601786
0.7000000000000001,kullback-leibler,mean,0.0019702224089024204,0.15523949229590642,0.029282263630089712,0.029581176673567976
0.7000000000000001,kullback-leibler,stdev,0.00013118713587681393,0.003058956972468719,0.008711560601484826,0.009013578546338365
0.7000000000000001,hellinger,mean,0.001962901464221691,0.5379073481689362,0.011448197032436163,0.011348775017253279
0.7000000000000001,hellinger,stdev,5.152617291896146e-05,0.004033605897967586,0.0019132818868299194,0.0018241565030067141
0.7000000000000001,pearson,mean,0.0022165833150713456,0.11262918836489222,0.04582772601794341,0.046785714285714285
0.7000000000000001,pearson,stdev,0.0001476636096529395,0.005150913779321973,0.009739077173951097,0.010944847591369742
0.8,kullback-leibler,mean,0.002011264280350885,0.15166259352728323,0.035217391304347825,0.03601449275362319
0.8,kullback-leibler,stdev,0.00011751196576557911,0.0028782285350423477,0.009063079974132053,0.009937678998686509
0.8,hellinger,mean,0.0018605553455508632,0.5134257169592069,0.01431073153899241,0.014209368530020704
0.8,hellinger,stdev,0.00010328374059484028,0.0023361925977518315,0.003666557722372617,0.0036566656734220793
0.8,pearson,mean,0.0022237961438421453,0.11268465608675449,0.046270703933747416,0.04721747757073844
0.8,pearson,stdev,0.0001393319866538497,0.005081058105015799,0.009773950253897322,0.010986938495494456
0.9,kullback-leibler,mean,0.0020161867331105685,0.14949695894477788,0.04179002760524499,0.042647515527950305
0.9,kullback-leibler,stdev,0.00011723356596885263,0.0026933305922887717,0.010652179698541962,0.011649769362126102
0.9,hellinger,mean,0.001789388636102747,0.49326529560231275,0.03046432884748102,0.030772515527950316
0.9,hellinger,stdev,0.00010319697148037299,0.00125297706381899,0.006856860242013328,0.006932058578982899
0.9,pearson,mean,0.0022194132063831735,0.11266318702638412,0.04759618702553485,0.04854296066252588
0.9,pearson,stdev,0.00013658570565837794,0.005091301662087932,0.009513750925022846,0.010724771543460092
1.0,kullback-leibler,mean,0.001986002448488135,0.1483880895061492,0.05331004140786748,0.05398809523809524
1.0,kullback-leibler,stdev,0.00010791478124284029,0.0028418180672705688,0.009851867961955394,0.010706231708688126
1.0,hellinger,mean,0.001680248726216252,0.4864901719679997,0.057270531400966176,0.058106884057971
1.0,hellinger,stdev,0.00011528701357237194,0.0010873251319511309,0.008527433098112318,0.009646824301967468
1.0,pearson,mean,0.002204874366758521,0.11269341142201139,0.049562198067632846,0.050442546583850924
1.0,pearson,stdev,0.0001428136094824347,0.005111197114285199,0.00969180199128942,0.01084105981099726
