Lambda,FairnessMeasure,Statistic,MACE,MRMC,MAP,MRR
0.0,kullback-leibler,mean,0.04159101963295327,0.49632621781661374,0.030501984126984127,0.031700396825396826
0.0,kullback-leibler,stdev,0.0016460782326970034,0.03255403403212721,0.006223177081245272,0.007079075385615289
0.0,hellinger,mean,0.04159101963295327,0.8661375135338603,0.030501984126984127,0.031700396825396826
0.0,hellinger,stdev,0.0016460782326970034,0.028446916542798194,0.006223177081245272,0.007079075385615289
0.0,pearson,mean,0.04159101963295327,0.5146759839976565,0.030501984126984127,0.031700396825396826
0.0,pearson,stdev,0.0016460782326970034,0.037187368460246596,0.006223177081245272,0.007079075385615289
0.1,kullback-leibler,mean,0.026611729569594327,0.22765348225712864,0.06885317460317461,0.0717529761904762
0.1,kullback-leibler,stdev,0.0005432797968138805,0.007816532625758436,0.008833627610518023,0.009910114411751563
0.1,hellinger,mean,0.03699238011502206,0.7905429143965353,0.029916666666666668,0.03096626984126984
0.1,hellinger,stdev,0.0011930992376995,0.021831881585480196,0.005992940804520687,0.006963405484948749
0.1,pearson,mean,0.02501359495907952,0.10088354331396454,0.12484523809523809,0.12846329365079362
0.1,pearson,stdev,0.00036837396484969625,0.0020002093843461506,0.020441121738973392,0.021641777730761
0.2,kullback-leibler,mean,0.023629525846569032,0.17363055802255048,0.09925198412698412,0.10387896825396825
0.2,kullback-leibler,stdev,0.0004113041783623687,0.005545603200499964,0.02051570075925121,0.021688023945780417
0.2,hellinger,mean,0.03274732136847998,0.715797842433091,0.034100198412698415,0.033789682539682536
0.2,hellinger,stdev,0.0007890223795145959,0.015908087840071933,0.007170641268575734,0.0072080690649480965
0.2,pearson,mean,0.024592509516216176,0.10045507708298174,0.12566369047619047,0.13032738095238094
0.2,pearson,stdev,0.00036373301368729954,0.002077317496233653,0.018441927082295168,0.020661246644819945
0.30000000000000004,kullback-leibler,mean,0.022419335581583204,0.15267681065101937,0.11722023809523811,0.12334623015873014
0.30000000000000004,kullback-leibler,stdev,0.0003711732164691409,0.0042289437011177305,0.018309689381140352,0.020205963260838206
0.30000000000000004,hellinger,mean,0.028488670486094804,0.6392631003511751,0.05361210317460317,0.05446626984126984
0.30000000000000004,hellinger,stdev,0.0007177394053839121,0.016280012806780222,0.013869099546165022,0.014343263917704546
0.30000000000000004,pearson,mean,0.024128529654071036,0.10016555249436372,0.13051488095238092,0.13518551587301586
0.30000000000000004,pearson,stdev,0.0003670790525259648,0.0021058910641545744,0.017481597810472514,0.018852431297844502
0.4,kullback-leibler,mean,0.021693988733590693,0.141746262266852,0.12097321428571428,0.12721130952380952
0.4,kullback-leibler,stdev,0.0003396577512870425,0.0034834932660044093,0.018453099077701287,0.02045679107156373
0.4,hellinger,mean,0.024830290706113384,0.5689654374977813,0.06653571428571428,0.06995634920634922
0.4,hellinger,stdev,0.0006779407359159586,0.016716636179219677,0.012231097102693057,0.012635206406888056
0.4,pearson,mean,0.023787568052805415,0.10003514239861108,0.13032738095238092,0.13424801587301588
